f_center_mhz,f_lo_mhz,f_hi_mhz,bw_khz,peak_snr_db,level_dbfs,duty,spread_db,image_irr_db,retune,gain_tests,category,flags
88.0000,88.0000,88.0049,4.9,8.7,-42.7,1.00,0.2,1.2,,,,edge;clipped;marginal
88.4906,88.4688,88.5127,43.9,8.6,-36.1,1.00,2.0,,,,,edge;clipped;marginal
89.2371,89.2354,89.2451,9.8,5.1,-44.6,1.00,0.4,,,,,edge;clipped;marginal
89.4888,89.4404,89.5625,122.1,8.6,-31.7,1.00,1.3,,,,,edge;clipped;marginal
89.8650,89.8604,89.8750,14.6,6.9,-42.3,1.00,0.2,3.4,,,,edge;clipped;marginal
90.2841,90.2803,90.2949,14.6,7.8,-40.9,1.00,0.2,,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
90.7028,90.7002,90.7100,9.8,7.5,-40.6,1.00,0.1,11.5,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
91.0862,91.0713,91.1055,34.2,11.7,-32.7,1.00,0.8,,,98M mid->98M high (clipped):linear,unexplained,clipped
91.1215,91.1152,91.1299,14.6,7.7,-40.0,1.00,0.2,,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
91.5407,91.5352,91.5498,14.6,7.1,-40.7,1.00,0.1,11.4,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
91.6936,91.6768,91.7109,34.2,5.4,-38.5,0.97,4.7,,,98M mid->98M high (clipped):linear,unexplained,clipped;marginal
91.9587,91.9551,91.9648,9.8,5.4,-42.8,1.00,0.3,,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
92.1684,92.1650,92.1748,9.8,5.8,-41.8,1.00,0.5,,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
92.5878,92.5850,92.5947,9.8,6.4,-40.0,1.00,0.2,,,98M mid->98M high (clipped):linear,station_part,clipped;marginal;comb_candidate
92.6921,92.6533,92.7314,78.1,12.7,-26.7,1.00,0.4,,,98M mid->98M high (clipped):linear,raster_station,clipped
93.0072,93.0049,93.0146,9.8,6.2,-39.3,1.00,0.1,,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
93.3016,93.2148,93.3809,166.0,19.5,-18.2,1.00,2.5,,,98M mid->98M high (clipped):linear,raster_station,clipped
93.4484,93.4150,93.4980,83.0,8.5,-31.8,1.00,0.6,,,98M mid->98M high (clipped):linear,station_part,clipped;marginal
93.8450,93.8398,93.8545,14.6,6.9,-39.2,1.00,0.2,,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
94.2631,94.2598,94.2695,9.8,5.3,-40.7,1.00,0.3,,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
94.9011,94.8213,94.9727,151.4,18.3,-17.9,1.00,2.5,,,98M mid->98M high (clipped):linear,raster_station,clipped
95.3116,95.3096,95.3193,9.8,6.0,-39.0,1.00,0.2,,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
95.7162,95.6465,95.7783,131.8,17.3,-22.6,1.00,3.9,,,98M mid->98M high (clipped):linear,raster_station,clipped
96.1493,96.1445,96.1592,14.6,7.0,-38.7,1.00,0.3,,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
96.3527,96.3301,96.3740,43.9,5.1,-35.5,1.00,0.3,9.9,,98M mid->98M high (clipped):linear,station_part,clipped;marginal
96.4792,96.3887,96.6035,214.8,18.4,-17.7,1.00,2.8,,,98M mid->98M high (clipped):inconclusive_bursty,raster_station,clipped
97.2926,97.2334,97.3506,117.2,14.5,-23.1,1.00,0.8,,,98M mid->98M high (clipped):linear,raster_station,clipped
97.6161,97.6143,97.6240,9.8,6.1,-39.8,1.00,0.2,,,98M mid->98M high (clipped):linear,comb,clipped;marginal;comb_candidate
98.0000,97.9951,98.0098,14.6,11.8,-34.5,1.00,0.1,,,98M mid->98M high (clipped):compressed,,dc;clipped;compressed
