f_center_mhz,f_lo_mhz,f_hi_mhz,bw_khz,peak_snr_db,level_dbfs,duty,spread_db,image_irr_db,retune,gain_tests,category,flags
905.9930,905.9863,906.0010,14.6,11.1,-51.7,1.00,1.4,,,,,edge
908.7956,908.7158,908.8770,161.1,6.1,-45.1,0.01,37.3,,,915M low->915M high:inconclusive_bursty,unverified,marginal
909.9685,909.9658,909.9756,9.8,7.2,-52.7,1.00,1.8,,,915M low->915M high:inconclusive_weak,unverified,marginal
910.0053,909.9951,910.0146,19.5,11.9,-48.1,1.00,1.1,,,915M low->915M high:linear,,spur_candidate
911.9785,911.9727,911.9873,14.6,9.8,-49.4,1.00,0.2,,,915M low->915M high:inconclusive_weak,unverified,
913.1274,913.1152,913.1494,34.2,4.9,-50.1,0.01,41.8,,,915M low->915M high:inconclusive_bursty,unverified,marginal
913.1933,913.1836,913.2031,19.5,7.9,-50.2,0.01,33.7,,,915M low->915M high:inconclusive_bursty,unverified,marginal
914.3750,914.3701,914.3848,14.6,15.7,-43.1,1.00,0.1,,,915M low->915M high:linear,unverified,
914.9969,914.9756,915.0098,34.2,24.2,-33.5,1.00,0.1,,,915M low->915M high:compressed,,dc;compressed
920.9163,920.9082,920.9277,19.5,7.7,-45.7,0.36,0.6,,,915M low->915M high:inconclusive_weak,unverified,marginal
920.9930,920.9814,921.0059,24.4,27.2,-28.7,1.00,0.4,,,915M low->915M high:linear,unverified,
921.0695,921.0596,921.0840,24.4,7.7,-45.5,0.37,0.5,,,915M low->915M high:inconclusive_weak,unverified,marginal
