step,f_center_mhz,bw_khz,snr_lo_db,snr_hi_db,dsnr_db,dsnr_certain,dlevel_db,spread_lo_db,spread_hi_db,verdict
98 low->mid,91.1016,24.4,-12.4,6.6,15.7,False,23.3,4.5,0.7,inconclusive_weak
98 low->mid,92.6922,68.4,-8.3,9.5,17.8,True,23.0,2.7,0.4,linear
98 low->mid,93.3017,151.4,-1.4,16.2,17.5,True,22.6,2.1,1.1,linear
98 low->mid,93.4464,63.5,-14.4,4.9,14.0,False,27.8,10.3,0.8,inconclusive_weak
98 low->mid,93.7498,9.8,-9.3,4.9,14.1,False,19.4,1.4,0.6,inconclusive_weak
98 low->mid,94.9012,151.4,-1.1,15.5,16.6,True,22.9,3.3,2.2,linear
98 low->mid,95.7195,127.0,-2.4,14.2,16.6,True,23.4,6.7,4.7,linear
98 low->mid,96.4755,156.2,-2.3,15.7,18.0,True,23.8,3.4,14.1,inconclusive_bursty
98 low->mid,96.5764,34.2,-12.3,9.2,18.4,False,28.8,23.6,8.4,inconclusive_bursty
98 low->mid,97.2933,97.7,-5.2,12.1,17.3,True,23.6,1.4,1.2,linear
98 low->mid,98.0000,14.6,46.9,42.1,-4.7,True,0.9,0.1,0.1,compressed
98 low->mid,98.0985,122.1,-5.8,13.6,19.5,True,22.7,2.4,6.5,inconclusive_bursty
98 low->mid,98.8972,107.4,-2.9,15.1,18.0,True,24.0,1.5,2.8,linear
98 low->mid,98.9639,29.3,-14.3,5.1,14.2,False,27.6,12.8,6.0,inconclusive_bursty
98 low->mid,99.6853,131.8,-5.1,12.6,17.7,True,23.4,1.6,3.1,linear
98 low->mid,100.0000,19.5,13.5,28.5,15.1,True,20.8,0.4,0.1,linear
98 low->mid,100.4460,24.4,-10.4,7.9,17.1,False,23.7,2.9,0.4,inconclusive_weak
98 low->mid,101.3005,161.1,3.2,20.1,16.9,True,22.9,1.8,1.2,linear
98 low->mid,101.4635,68.4,-14.4,4.9,14.0,False,28.3,18.7,0.3,inconclusive_weak
98 low->mid,102.7813,24.4,-11.3,5.7,14.8,False,23.2,3.5,0.9,inconclusive_weak
98 low->mid,104.4973,117.2,-1.5,13.3,14.9,True,22.3,6.1,2.8,linear
98 low->mid,105.2933,122.1,0.3,15.3,15.0,True,22.3,4.5,3.0,linear
98 mid->high,90.2841,14.6,3.5,7.8,4.2,True,32.8,0.4,0.2,linear
98 mid->high,90.7028,9.8,3.3,7.5,4.2,True,33.0,0.4,0.1,linear
98 mid->high,91.0862,34.2,6.6,11.7,5.2,True,37.1,1.6,0.8,linear
98 mid->high,91.1215,14.6,3.9,7.7,3.7,True,32.3,0.8,0.2,linear
98 mid->high,91.5407,14.6,3.7,7.1,3.4,True,32.4,0.5,0.1,linear
98 mid->high,91.6936,34.2,1.4,5.4,4.0,True,33.3,3.4,4.7,linear
98 mid->high,91.9587,9.8,2.1,5.4,3.3,True,32.7,0.3,0.3,linear
98 mid->high,92.1684,9.8,2.7,5.8,3.1,True,32.7,0.5,0.5,linear
98 mid->high,92.5878,9.8,3.1,6.4,3.3,True,33.1,0.4,0.2,linear
98 mid->high,92.6921,78.1,9.5,12.7,3.2,True,33.2,0.4,0.4,linear
98 mid->high,93.0072,9.8,3.1,6.2,3.2,True,33.1,0.3,0.1,linear
98 mid->high,93.3016,166.0,16.2,19.5,3.3,True,33.0,1.1,2.5,linear
98 mid->high,93.4484,83.0,4.9,8.5,3.6,True,32.2,0.8,0.6,linear
98 mid->high,93.8450,14.6,4.3,6.9,2.6,True,32.6,0.4,0.2,linear
98 mid->high,94.2631,9.8,3.2,5.3,2.1,True,32.6,0.3,0.3,linear
98 mid->high,94.9011,151.4,15.5,18.3,2.8,True,33.3,2.2,2.5,linear
98 mid->high,95.3116,9.8,3.8,6.0,2.3,True,32.9,0.2,0.2,linear
98 mid->high,95.7162,131.8,14.2,17.3,3.1,True,33.3,4.7,3.9,linear
98 mid->high,96.1493,14.6,4.7,7.0,2.3,True,32.6,0.3,0.3,linear
98 mid->high,96.3527,43.9,2.6,5.1,2.5,True,32.8,0.4,0.3,linear
98 mid->high,96.4792,214.8,15.7,18.4,2.7,True,32.9,14.1,2.8,inconclusive_bursty
98 mid->high,97.2926,117.2,12.1,14.5,2.4,True,33.2,1.2,0.8,linear
98 mid->high,97.6161,9.8,3.5,6.1,2.5,True,33.2,0.3,0.2,linear
98 mid->high,98.0000,14.6,42.1,11.8,-30.3,True,0.1,0.1,0.1,compressed
98 mid->high,98.0976,136.7,13.6,14.2,0.5,True,33.0,6.5,1.1,inconclusive_bursty
98 mid->high,98.4526,9.8,3.0,5.6,2.6,True,32.7,0.2,0.4,linear
98 mid->high,98.8963,117.2,15.1,17.2,2.1,True,32.5,2.8,0.4,linear
98 mid->high,98.9651,43.9,5.1,8.3,3.3,True,33.4,6.0,1.4,inconclusive_bursty
98 mid->high,99.6857,156.2,12.6,14.9,2.3,True,33.1,3.1,1.9,linear
98 mid->high,100.0000,19.5,28.5,18.4,-10.2,True,20.4,0.1,0.1,compressed
98 mid->high,100.4290,29.3,6.8,6.9,0.2,True,34.5,2.2,3.2,linear
98 mid->high,101.3012,195.3,20.1,21.4,1.3,True,32.4,1.2,0.5,linear
98 mid->high,101.4626,73.2,4.9,6.8,2.0,True,32.6,0.3,0.2,linear
98 mid->high,102.7630,34.2,3.8,9.4,5.5,True,40.6,2.9,2.0,linear
98 mid->high,102.9406,87.9,4.1,6.5,2.3,True,33.1,1.3,1.1,linear
98 mid->high,104.4968,146.5,13.3,14.3,0.9,True,33.3,2.8,4.0,linear
98 mid->high,105.0998,34.2,3.7,8.0,4.3,True,39.2,2.0,1.1,linear
98 mid->high,105.2871,151.4,15.3,13.8,-1.4,True,32.7,3.0,1.9,linear
915 low->high,908.7956,161.1,-18.6,6.1,15.3,False,49.3,15.8,37.3,inconclusive_bursty
915 low->high,909.9685,9.8,-19.7,7.2,16.3,False,48.4,14.8,1.8,inconclusive_weak
915 low->high,910.0053,19.5,-4.3,11.9,16.2,True,37.7,1.4,1.1,linear
915 low->high,911.9785,14.6,-17.6,9.8,18.9,False,49.4,17.2,0.2,inconclusive_weak
915 low->high,913.1274,34.2,-16.7,4.9,14.0,False,48.8,16.0,41.8,inconclusive_bursty
915 low->high,913.1933,19.5,-20.3,7.9,17.0,False,50.0,17.7,33.7,inconclusive_bursty
915 low->high,914.3750,14.6,-3.5,15.7,19.2,True,43.0,1.5,0.1,linear
915 low->high,914.9969,34.2,47.0,24.2,-22.8,True,2.1,0.1,0.1,compressed
