sweep,f_center_mhz,nbins,snr_db,level_db,persist,spur,verdict
1G_low,1.499,11,5.4,-0.5,0.55,0,
1G_low,2.365,4,5.1,-5.3,0.35,0,
1G_low,16.320,2,5.6,-6.2,0.50,0,
1G_low,17.590,6,3.4,-2.7,0.40,0,
1G_low,18.062,2,2.6,-6.7,0.30,0,
1G_low,20.001,7,30.0,21.3,1.00,0,
1G_low,26.200,46,8.5,12.8,0.80,0,
1G_low,32.325,29,7.3,10.1,0.70,0,
1G_low,34.648,9,3.5,2.2,0.40,0,
1G_low,45.053,109,11.6,19.7,0.95,0,
1G_low,56.891,21,3.6,-1.3,0.40,0,
1G_low,60.001,3,13.9,-1.0,1.00,1,
1G_low,65.951,1,1.7,-17.7,0.20,0,
1G_low,66.535,3,5.9,-10.9,0.50,0,
1G_low,80.032,3,6.6,-11.2,0.65,1,
1G_low,88.492,3,3.2,-14.6,0.30,0,
1G_low,89.480,1,2.7,-17.9,0.20,0,
1G_low,92.675,2,3.3,-14.3,0.35,0,
1G_low,93.305,3,12.1,-5.6,0.95,0,
1G_low,94.906,3,10.9,-5.9,1.00,0,
1G_low,95.713,2,7.0,-10.2,0.50,0,
1G_low,96.470,4,13.3,-2.8,0.95,0,
1G_low,97.285,2,6.6,-10.2,0.60,0,
1G_low,98.083,2,5.7,-11.8,0.65,0,
1G_low,98.902,3,8.9,-7.8,0.75,0,
1G_low,99.967,5,14.8,-1.0,1.00,0,
1G_low,101.307,4,14.6,-0.4,1.00,0,
1G_low,104.518,2,4.5,-10.8,0.40,0,
1G_low,105.271,3,8.5,-6.7,0.80,0,
1G_low,106.108,2,4.3,-10.9,0.35,0,
1G_low,106.932,3,4.4,-10.8,0.50,0,
1G_low,107.635,3,3.7,-10.5,0.25,0,
1G_low,120.006,2,8.9,-4.0,0.95,1,
1G_low,124.999,6,2.1,-5.0,0.25,0,
1G_low,135.499,2,1.9,-8.9,0.15,0,
1G_low,140.049,3,6.4,-2.5,0.60,1,
1G_low,142.538,4,5.6,-3.9,0.45,0,
1G_low,144.323,2,2.4,-6.6,0.10,0,
1G_low,144.784,5,3.3,-2.3,0.25,0,
1G_low,146.549,3,6.4,-1.3,0.65,0,
1G_low,147.069,4,7.7,2.5,0.80,0,
1G_low,149.446,2,2.5,-4.9,0.30,0,
1G_low,149.971,1,1.3,-8.0,0.25,1,
1G_low,151.833,1,2.1,-7.5,0.25,0,
1G_low,154.152,4,7.0,-0.7,0.60,0,
1G_low,158.845,2,5.8,-2.9,0.65,0,
1G_low,159.998,3,10.6,1.0,1.00,1,
1G_low,161.187,2,2.3,-7.3,0.25,0,
1G_low,163.531,2,3.4,-7.3,0.35,0,
1G_low,165.862,3,4.2,-5.6,0.40,0,
1G_low,168.184,2,4.9,-6.8,0.40,0,
1G_low,172.868,2,2.7,-7.9,0.25,0,
1G_low,177.520,1,3.3,-12.1,0.30,0,
1G_low,179.986,3,8.4,-5.8,0.55,1,
1G_low,186.885,2,1.9,-12.7,0.30,0,
1G_low,204.324,2,4.7,-9.5,0.35,0,
1G_low,209.247,4,2.4,-7.7,0.20,0,
1G_low,220.012,2,10.2,-3.5,0.95,1,
1G_low,240.005,2,10.0,-7.3,0.90,1,
1G_low,245.020,2,1.7,-14.3,0.20,0,
1G_low,293.118,3,14.8,-5.5,1.00,0,
1G_low,318.734,2,1.9,-17.9,0.20,0,
1G_low,319.995,3,12.3,-7.3,1.00,1,
1G_low,323.990,1,3.1,-18.9,0.35,0,
1G_low,340.007,2,2.9,-17.6,0.30,1,
1G_low,343.010,1,1.6,-21.0,0.20,0,
1G_low,360.007,2,7.9,-12.9,0.70,1,
1G_low,371.992,2,4.7,-16.2,0.55,0,
1G_low,378.378,51,21.7,9.3,0.85,0,
1G_low,400.000,3,18.4,-2.0,1.00,1,
1G_low,407.989,3,9.0,-11.3,0.95,0,
1G_low,419.997,3,11.7,-7.7,1.00,1,
1G_low,431.987,2,3.6,-14.5,0.30,0,
1G_low,434.480,1,2.3,-18.2,0.25,0,
1G_low,439.948,5,11.4,-5.8,1.00,0,
1G_low,440.998,2,1.9,-15.4,0.20,0,
1G_low,459.997,3,14.5,-2.4,1.00,1,
1G_low,480.001,4,20.4,2.0,1.00,0,
1G_low,489.971,1,1.9,-20.7,0.25,1,
1G_low,501.633,56,14.7,1.8,1.00,0,
1G_low,540.000,3,15.1,-5.3,0.95,1,
1G_low,554.334,2,1.9,-16.2,0.15,0,
1G_low,557.246,6,3.7,-10.5,0.35,0,
1G_low,560.007,2,10.3,-8.0,0.95,1,
1G_low,560.310,2,7.5,-10.3,0.80,0,
1G_low,572.294,2,3.2,-18.0,0.35,0,
1G_low,580.002,2,7.1,-14.2,0.75,1,
1G_low,585.261,25,8.6,-5.2,0.70,0,
1G_low,587.159,2,2.7,-18.5,0.25,0,
1G_low,588.688,23,6.3,-5.5,0.45,0,
1G_low,619.992,3,7.3,-12.3,0.70,1,
1G_low,621.459,3,2.9,-15.2,0.10,0,
1G_low,621.784,2,2.3,-16.8,0.15,0,
1G_low,622.261,2,3.0,-17.0,0.20,0,
1G_low,623.021,5,2.8,-13.2,0.25,0,
1G_low,636.989,2,7.2,-13.1,0.70,0,
1G_low,640.005,2,6.1,-15.3,0.45,1,
1G_low,659.999,3,13.1,-8.0,1.00,1,
1G_low,680.021,2,2.0,-18.5,0.20,1,
1G_low,700.006,2,9.3,-11.4,0.90,1,
1G_low,720.009,2,9.4,-9.5,0.85,1,
1G_low,732.782,2,5.4,-13.8,0.50,0,
1G_low,737.770,94,20.9,13.6,0.95,0,
1G_low,761.736,94,18.4,11.7,0.55,0,
1G_low,769.608,2,5.2,-15.6,0.50,0,
1G_low,773.679,3,11.1,-9.6,0.85,0,
1G_low,780.017,2,6.5,-13.4,0.65,1,
1G_low,783.988,3,7.4,-13.7,0.80,0,
1G_low,800.006,2,8.6,-12.7,0.85,1,
1G_low,820.000,3,12.0,-8.8,1.00,1,
1G_low,832.971,2,2.0,-19.4,0.30,0,
1G_low,839.995,3,10.2,-11.1,0.95,1,
1G_low,844.378,3,5.4,-15.9,0.35,0,
1G_low,851.242,3,9.5,-12.0,0.75,0,
1G_low,851.801,2,7.5,-14.0,0.50,0,
1G_low,852.866,2,8.7,-11.8,0.65,0,
1G_low,853.877,3,9.3,-12.2,0.80,0,
1G_low,860.006,2,4.4,-16.9,0.50,1,
1G_low,870.856,3,1.7,-17.3,0.10,0,
1G_low,871.339,5,4.2,-13.3,0.20,0,
1G_low,871.909,3,3.4,-15.7,0.10,0,
1G_low,874.365,2,5.9,-15.7,0.45,0,
1G_low,877.078,4,4.9,-13.0,0.05,0,
1G_low,878.745,2,2.3,-17.3,0.20,0,
1G_low,880.006,2,8.0,-12.9,0.80,1,
1G_low,891.882,2,2.1,-18.2,0.20,0,
1G_low,900.008,2,6.2,-15.1,0.55,1,
1G_low,920.003,2,6.6,-14.3,0.60,1,
1G_low,920.994,2,8.1,-12.1,0.65,0,
1G_low,925.620,2,3.4,-17.2,0.30,0,
1G_low,930.005,2,5.2,-15.8,0.40,1,
1G_low,930.994,2,3.5,-16.9,0.35,0,
1G_low,940.853,1,2.6,-20.4,0.25,0,
1G_low,943.108,1,4.3,-18.7,0.35,0,
1G_low,947.492,2,5.2,-16.5,0.50,0,
1G_low,960.007,2,2.2,-18.9,0.25,1,
1G_low,980.015,2,2.5,-18.3,0.35,1,
1G_low,1000.008,2,5.2,-16.6,0.40,1,
1G_high,8.059,52,20.2,40.2,1.00,0,suspect_imd
1G_high,12.029,1,1.7,11.6,0.20,0,inconclusive_bursty
1G_high,14.000,3,22.8,34.6,1.00,0,suspect_imd
1G_high,18.734,52,28.0,44.3,1.00,0,compressed
1G_high,31.534,28,7.1,41.3,0.55,0,linear
1G_high,37.366,2,3.0,28.2,0.35,0,inconclusive_bursty
1G_high,40.007,2,5.0,29.7,0.55,1,linear
1G_high,42.037,3,6.3,30.8,0.70,0,linear
1G_high,44.374,3,10.4,36.1,0.95,0,linear
1G_high,46.877,2,2.4,29.2,0.30,0,inconclusive_bursty
